"status","area","id_slug","titulo","origem","status_imagem","motivo","refs_candidatas","mapeamentos"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","noventa-noventa","90/90 de quadril","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","abertura-peito-porta","Abertura de peito na porta","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","abertura-quadril-sentado","Abertura de quadril sentado","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","abertura-dedos","Abertura dos dedos","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","abraco-escapulas","Abraco das escapulas","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","alfabeto-tornozelo","Alfabeto com tornozelo","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","alongamento-frente-tornozelo","Alongamento da frente do tornozelo","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","alongamento-biceps-parede","Alongamento de biceps na parede","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","alongamento-de-pernas","Alongamento de pernas","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","alongamento-braquiorradial","Alongamento do braquiorradial","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","elevador-escapula","Alongamento do elevador da escapula","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","alongamento-polegar","Alongamento do polegar","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","alongamento-pronadores","Alongamento dos pronadores","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","alongamento-supinadores","Alongamento dos supinadores","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","alongamento-leve","Alongamento leve","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","alongamento-leve-pernas","Alongamento leve de pernas","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","capsula-posterior-ombro","Alongamento posterior do ombro","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","joelho-no-chao-anterior","Anterior de coxa com joelho no chao","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","anterior-coxa-cadeira","Anterior de coxa na cadeira","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","ativacao-leve-3-minutos","Ativacao leve de 3 minutos","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","bom-dia-mobilidade","Bom dia de mobilidade","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","braco-cruzado-suave","Braco cruzado suave","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","ref_004_mov_14","Cabeca ao joelho","REFERENCE_EXTRACTED","MISSING","O exercicio possui mapeamento, mas ainda faltam arquivos fisicos obrigatorios.","ref_004_mov_14","1"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","ref_005_mov_05","Cabeca ao joelho","REFERENCE_EXTRACTED","MISSING","O exercicio possui mapeamento, mas ainda faltam arquivos fisicos obrigatorios.","ref_005_mov_05; ref_004_mov_14","1"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","caminhada-consciente","Caminhada consciente","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","caminhada-consciente-curta","Caminhada consciente curta","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","ref_004_mov_10","Cao olhando para baixo","REFERENCE_EXTRACTED","MISSING","O exercicio possui mapeamento, mas ainda faltam arquivos fisicos obrigatorios.","ref_004_mov_10","1"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","circulos-punho-mobilidade","Circulos de punho","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","circulos-quadril","Circulos de quadril","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","circulos-tornozelo","Circulos de tornozelo","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","elevacao-ombros-circulos","Circulos lentos de ombros","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","deltoide-posterior-cruzado","Deltoide posterior cruzado","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","alongamento-dorsal-cadeira","Dorsal com apoio na cadeira","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","dorsiflexao-parede","Dorsiflexao na parede","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","extensao-abdominal-em-pe","Extensao abdominal em pe","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","extensao-bracos-atras","Extensao dos bracos atras","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","extensao-flexores-punho","Extensao dos flexores do punho","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","extensao-toracica-peito","Extensao toracica com abertura de peito","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","extensao-toracica-cadeira","Extensao toracica na cadeira","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","figura-quatro-sentado","Figura quatro sentado","PRE_REFERENCE_CATALOG","MISSING","Ainda nao existe correspondencia confirmada entre este exercicio e o banco de imagens de referencias.","","0"
"ARCHIVED_MISSING_IMAGE","EXERCISE_INSTRUCTION","ref_011_mov_21","Flexao a frente","REFERENCE_EXTRACTED","MISSING","O exercicio possui mapeamento, mas ainda faltam arquivos fisicos obrigatorios.","ref_011_mov_21","1"
